Id,R_2026_27,Nome_2026_27,Squadra_2026_27,provenance_2025_26,confidence,evidence
7533,P,Happonen,Bologna,YOUTH_RESERVE_2025_26,high,Bologna FC official 2025/26 Primavera match reports identify Happonen as starting goalkeeper
7048,P,De Marzi,Roma,YOUTH_RESERVE_2025_26,high,Roma Primavera 2025/26 lineups and senior bench evidence; absent from Serie A Fantacalcio historical workbook
7483,D,Alhassane,Bologna,FOREIGN_LEAGUE_2025_26,high,Bologna FC official: acquired from Real Oviedo after a 27-appearance 2025/26 campaign
4845,D,Correia T.,Venezia,FOREIGN_LEAGUE_2025_26,high,Venezia FC official: signed July 2026 after Valencia contract expiry
6681,D,Sagrado,Venezia,SERIE_B_2025_26,high,Venezia authenticated match-worn record confirms Sagrado in Serie B 2025/26
7478,D,Franjic,Venezia,SERIE_B_2025_26,high,Venezia 2025/26 Serie B lineups confirm Bartol Franjic as starter
7528,C,Amondarain,Bologna,FOREIGN_LEAGUE_2025_26,high,Bologna FC official: acquired from Estudiantes; contributed to 2025 Torneo Clausura-winning side
5707,P,Piana,Udinese,RETURN_OTHER_2025_26,high,2025/26 loan at Monopoli in Serie C documented by loan records
7409,C,Meichtry,Genoa,FOREIGN_LEAGUE_2025_26,high,Genoa announcement and ANSA: FC Thun Swiss Super League 2025/26; 35 appearances 8 goals 3 assists
6021,D,Abankwah,Udinese,FOREIGN_LEAGUE_2025_26,high,Udinese official: loan at Watford extended through 30 June 2026
