Id,R_2026_27,Nome_2026_27,Squadra_2026_27,provenance_2025_26,confidence,evidence
6569,P,Stolz,Genoa,FOREIGN_LEAGUE_2025_26,high,"2025/26 split foreign season: Rapid Bucuresti (Romanian SuperLiga) then Grazer AK (Austrian Bundesliga); AGERPRES and loan records"
7534,P,Renzetti,Lazio,RETURN_OTHER_2025_26,high,"2025/26 loan from Lazio to Bra in Serie C; 2026 reporting confirms return to Lazio"
7538,D,Halhal,Venezia,FOREIGN_LEAGUE_2025_26,high,"KV Mechelen, Belgian Jupiler Pro League 2025/26; 17 league appearances plus cup evidence"
5424,D,Amey,Frosinone,RETURN_OTHER_2025_26,high,"Bologna official: season-long loan to Pianese through 30 June 2026; Serie C 2025/26"
7468,D,Gelli J.,Frosinone,SERIE_B_2025_26,high,"Frosinone from July 2025; 2025/26 Serie B appearances documented by FotMob/Goal"
7470,D,Oyono J.,Frosinone,SERIE_B_2025_26,high,"Frosinone player since 2024; 2025/26 Serie B squad/competition evidence"
7471,D,Corrado,Frosinone,SERIE_B_2025_26,high,"Frosinone official: joined July 2025; club match/interview evidence confirms 2025/26 Serie B season"
5399,D,Antov,Monza,SERIE_B_2025_26,high,"AC Monza official: returned summer 2025 and featured in 2025/26 promotion season/playoff final"
7476,D,Bakoune,Monza,SERIE_B_2025_26,high,"AC Monza official: signed July 2025 for first professional season; 2025/26 Monza Serie B squad evidence"
5946,C,Sow,Genoa,FOREIGN_LEAGUE_2025_26,high,"Sevilla 2025/26; August 2026 transfer reporting confirms move to Genoa after final Sevilla season"
7311,C,Romano,Cagliari,SERIE_B_2025_26,high,"2025/26: Roma senior cameos then loan to Spezia in Serie B; 19 appearances reported"
7412,C,Milla,Como,FOREIGN_LEAGUE_2025_26,high,"Getafe official/Como transfer reporting: Getafe LaLiga 2025/26; 37 league appearances and 10 assists"
6241,C,Gelli F.,Frosinone,SERIE_B_2025_26,high,"Frosinone official interviews in Jan-Apr 2026 confirm first-team participation in 2025/26 Serie B"
7456,C,El Azzouzi A.,Frosinone,FOREIGN_LEAGUE_2025_26,high,"Anouar El Azzouzi: Fortuna Dusseldorf 2025/26 in German 2. Bundesliga; Frosinone/Fantacalcio 2026 signing evidence"
5725,C,Kone B.,Frosinone,SERIE_B_2025_26,high,"Frosinone official medical reports and Lega B match records confirm Ben Kone in 2025/26 Serie B"
